agency-matched-string
Ratchadapisek Sompoch Endowment Fund
Surface Coatings Technology for Metals and Materials Research Unit
Nakhon Ratchasima
Government Annual Research Budget
Ministry for Science and Technology of Brazil
State University of Londrina
Bangkok Synthetics Co.
"Department of Chemical Engineering, Chulalongkorn University"
"Dow Chemical (Thailand), Ltd."
"PTT Phenol Co., Ltd."
CPAN
EU-ESF
GSRT (Greece)GSRT
MSES
MoER
PCTI
STAR
EE-KU
Faculty of Engineering KU
Provincial Electricity Authority
A. P. Sloan Foundation
Austrian Federal Ministry of Science
Consorzio per la Fisica
Desarrollo e Innovación and Programa Consolider-Ingenio 2010
Helsinki Institute of Physics
Institute for Studies in Theoretical Physics and Mathematics
Mexican Funding Agencies
National Innovation Office
National Scientific Research Foundation
Republic of Korea
Secretaría de Estado de Investigación
State Fund for Fundamental Researches
Sompoch Endowment Fund
Centre for Advanced Studies in Tropical Natural Resources
Cluster and Program Management Office
NRU-KU
National Research University
100th Anniversary Chulalongkorn University
Allergan and Merz Pharma
CU-CLUSTER fund of Chulalong-korn University
Boston Scientific Foundation
US National Institutes of Health
Veterans Affairs Puget Sound Health Care System
Nano-Cosmeceuticals Laboratory
COL-CIENCIAS
ERC IUT
Excellence of Science
FRIA-Belgium
IWT-Belgium
LNS
MESTD
MON
MSHE
Programa Estatal de Fomento de la Investigación Científica y Técnica de Excelencia María de Maeztu
Swiss Funding Agencies
TUBITAK
UASLP-FAI
Ratchadaphiseksomphot Endowment Fund
Royal Thai Government
TRF-Rubber
Research and Academic Affairs Promotion Fund
Health System Research Institute
Prince of Songkla University National Research Council of Thailand
Royal College of Anesthesiologists of Thailand
Siriraj Hospital and Ramathibodi Hospital
Pork Checkoff
Hundred Excellent Innovative Talents Support Program in Hebei Province
National Science Foundation for Distinguished Young Scholars for Hebei Province of China
Thai Government Budget
The Energy Conservation Promotion Fund
Chula-longkorn Academic Advancement
DPST
Development and Promotion of Science and Technology Talents Project
COSMICISM
Thailand Research Fund/Office of the Higher Education Commission
Polish Ministry of Science and Higher Education
Polish National Science Centre
Beasiswa Unggulan
Health and Human Services Administration of Developmental Disabilities
"Ministry of National Education, Government of Indonesia"
National Institute of Health
European Union’s Horizon 2020
Ministry of Science and Culture of Lower Saxony
Niedersachsen-Research Network on Neuroinfectiology
S.T.
Veterinary Science Research Fund
Ministry of Energy
Institute of Biotechnology
Benoziyo Center
CIN-VESTAV
"Cantons of Bern, Geneva and Zurich"
Chulalongkorn Academic
DNSRC
EU Regional Development Fund
"Horizon 2020, and Marie Sklo dowska-Curie Actions"
Investissements d’Avenir Labex
MSMT
MSSR
Qatar NRF
RAEP
RGC
Région Auvergne
UniZH
VSC CR
Wallenberg Foundation
Bangchak Petroleum PLC.
CU Graduate School Thesis
TRF-CHE
Research and Development Fund
TRF International Research Network Program
National Research University Project
"Rachadapiseksomphot Endowment Fund of the Faculty of Medicine, Chulalongkorn University"
Center of Excellence on Medical Biotechnology
PERDO
S&T Postgraduate Education and Research Development Office
Center of Excellence in Clinical Virology
US Department of Defense
Japan Advanced Institute of Science and Technology
Thailand Research and Technology
"Western Digital (Thailand) Company, Ltd."
Chulalongkorn Academic Advancement
L’Oreal (Thailand) Ltd
NRCT-JSPS
National Wildlife Research Center
"Center of Excellence on Petrochemicals and Materials Technology, Chulalongkorn University"
"Discipline of Excellence in Department of Chemical Engineering, Department of Chemical Engineering"
"CU Graduate School Thesis Grant, Chulalongkorn University"
Huvepharma (Thailand) Ltd
Thammasat University Research Fund
Sahamongkol Film International Company Limited
US-Thai
Hymenoptera Institute of Kentucky
Rachadapisaek Sompote
Center of Excellence in Materials Science and Technology
PERCH
ARTS
National Science Foundation Advancing Revisionary Taxonomy and Systematics
Texas A&M Pesca
Programa Severo Ochoa del Princi-pado de Asturias
Institute of Veterinary Bacteriology of the University of Bern
Office of International Affairs and Global Network
Baylor-UT Houston Center for AIDS Research
National Institutes of Health-funded
Research Institute of Meijo University
PREDICT
Chulalongkorn University and the Thailand Research Fund
CNRS/IN2P3
ThEPCenter
Elite Asia Interpreters and Ifop-Asia
Allana Potash Corporation
Landmark Graphics Corporation
Landmark University
Environment and Meteorological Department
Ministry of Public Health
"Pollution Control Department, Ministry of Natural Resources"
Chulalongkorn University
IIAC Chulalongkorn University
Dental Association of Thailand
Excellent Center in Regenerative Dentistry
LPG
University Hospital and Laboratory of Research and Graduate College Hospital
Hanoi University of Science
Institute of Earth Sciences
Institute of Geosciences (Gemstone Research Center
Johannes Gutenberg University
Karl-Franzens-University of Graz
Vietnam Institute of Geosciences and Mineral Resources
Vietnam National Foundation for Science and Technology Development
Faculty of Science and Technology
Faculty of Science and Technology Research Fund
Center of Excellence on Petrochemicals and Materials Technology Chulalongkorn University
"Department of Chemical Engineering, Department of Chemical Engineering, Faculty of Engineering, Prince of Songkla University"
Institute for Applied Surfactant Research
"Procter & Gamble, Sasol (USA) Corporation"
Research and Creative Fund
CBRC
Center of Excellence in Catalysis for Bioenergy and Renewable Chemicals
National Research Council of Thailand and Health System Research Institute
"Ratchadaphiseksomphot Fund of Faculty of Medicine, Chulalongkorn University"
Thai Red Cross Society
CUAASC
AEI/FEDER
Chemical Approaches for Food Applications Research Group
Science Achievement Scholarship of Thailand
NIH NIDDK
Pakistan-United States Science and Technology Cooperation Program
Faculty of Veterinary Science and Chulalongkorn University
SKLWUT
Social Development Project of Jiangsu Province
Ratchadapiseksompotch Fund
Center of Excellence on Petrochemical and Materials Technology
"Petroleum and Petrochemical College, Chulalongkorn University"
Ratchadapiseksomophot Endowment
Osteoarthritis and Musculoskeleton Research Unit
FP7/2007
Chulalongkorn academic advancement
Rachadapisek Sompot Fund for
bureau foundation
Keirin Race of the Japan Keirin Association
Megumi Yatabe
JSPS-NRCT
Tokyo University of Marine Science and Technology
ANR-09-BLAN-0238-02
Université de Poitiers
iPHEP
Chulalongkorn Univer-sity
Center of Excellence on Hazardous
"Faculty of Technology and Environment, Prince of Songkla University"
"Research Fund of Research Division, Faculty of Medicine, Siriraj Hospital, Mahidol University"
Skin and Allergy Research Unit
Programa Severo Ochoa del Prin-cipado de Asturias
University
Chulalongorn University
James Mitchell at Monash University
Margaret Kartomi
Prime Ministers Asia Endeavour Award
Hiroshima Univeresity
IPST
Institute for the Promotion of Teaching Science and Technology
Health Insurance System Research Office of the Health System Research Institute
Health Insurance Systems Research Office in the Health System Research Institute
Faculty of Veterinary Sciences
Chulabhorn Research Institute
Queen Sirikit Sericulture Center
Office of the Royal Development Projects Board
RDPB
TRF Strategic Basic Research
PTTEP
Economic Research Institute
Shun Sakoda
Chu-lalongkorn University
Naresuan University Research Fund
Royal Government of Thailand
AuScope Pty Ltd.
Endeavour Australia Cheung Kong Fellowship
"Graduate School of Medical Sciences, Kyushu University"
Research Support Center
Chu-lalongkorn university
Chulalongkorn Graduate
Center of Excellence for Emerging and Re-Emerging Infectious Disease
"Verasuwan CO., LTD"
Chulalongkorn University and Science Achievement Scholarship of Thailand
ALMA-CONICYT
CNRS/INSU
Programme National de Cosmologie et des Galaxies
"Commission on Higher Education, Ministry of Education of Thailand"
"Center for Alcohol Studies, Thailand"
Princess Mother National Institute on Drug Abuse Treatment
Chinese Scholarship Council
Nanotec-CU Center of Excellence on Food and Agriculture
"TRF, Chulalongkorn University"
Plasma Technology and Nuclear Fusion Research Unit
Rajamangala University of Technology Suvarnabhumi
"Helena -ai Laboratories Co., Ltd."
CAPES fellowships
CNPq PVE
Institute of Health
"Institute of Health, School of Dentistry"
Sao Paulo Research Foundation
University Medical Center Rotterdam
Bundesministerium für
Desarrollo e Innovación
Russian Competitiveness Program of NRNU
"Secretariat for Higher Education, Science, Technology and Innovation"
KA Wallenberg foundation
Ratchadaphiseksom-phot Endowment Fund
Thailand Research Fund
100th Anniversary Chulalongkorn University Fund for Doctoral Scholarship
"Department of Pharmacology and Physiology, Faculty of Pharmaceutical Sciences"
Deutsche For-schungsgemeinschaft
Kidney Foundation of Thailand
Office of Biological and Environmental Research
US Department of Energy
"Center of Excellence in Materials Science and Technology, Chiang Mai University"
Faculty of Veterinary Science
Center of Excellence in Emerging and Re-emerging Infectious Diseases in Animals
Huevepharma (Thailand) Ltd
Research and Academic Service
Chinese Academy of Sciences and Local Innovative and Research Teams Project of Guangdong Pearl River Talents Program
Bur-apha University
Center of Excellence for Innovation in Chemistry
PERCH-CIC
Civil Engineering Construction Corporation
Ministry of Investment and Planning
Thang Long Construction Corporation
Medical and Health Research
Chulalongkorn University-Veterinary Science Research Fund
Programa Estatal de Fomento de la Inves-tigación Científica y Técnica de Excelencia María de Maeztu
European Union Horizon 2020 Marie Skłodowska-Curie
National Institutes of Health
Willis Research Network
"Center of Excellence for Thai Music and Culture Research, Faculty of Fine and Applied Arts"
Department of Biochemistry
Department of Physical Chemistry
"National Center for Genetic Engineering and Biotechnology, Ministry of Science and Technology, Thailand"
Nutrilite Research Award
ThEP-Center
BK21 PLUS Program for Creative Veterinary Science Research Center
Research Institute for Veterinary Science
AOARD
Asian Office of Aerospace Research and Development
American Cancer Society Clinical Research Professorship
Khun Poom Foundation
Project of Her Royal Highness Princess Ubonratana Rajakanya Siriwatana Bhanawadee
Thai Ministry of Science and Technology
Thailand Center of Excellence for Life Sciences
Faculty of Health Sciences
NIEHS/NIH
Chulalongkorn Hospital
International Decision Support Initiative
Maharaj Nakorn Chiangmai Hospital and Medical Research Network
NHSO
Phramongkutklao Hospital
Ramathibodi Hospital
Srinagarind Hospital
Program Foundation
Balnaves Foundation
International Agency for Research on Cancer6
United States Environmental
Coordenac¸ão de Aper-feic¸oamento de Pessoal de Nível Superior
Instituto Cérebro e Mente and Universidade do Extremo Sul Catarinense
JST-JICA
Transportation Institute Chulalongkorn University
excellent young and middle-aged scientists of Shandong Province
National Institute of Allergy and Infectious Diseases Division of AIDS
South Carolina Chemist Award
South Carolina Governor
Founda- tion for Polish Science
National Research Council of Thailand and Agricultural research development agency
Special Task Force for Activating Research
swine viral evolution and vaccine research
NINDS/NIMH
National Health Service
National Research Foundation
Cluster Ratchadapisek Sompotch Endowment Fund
Family Planning Clinic
HIV-NAT Clinic
Adiyaman University
Bingol University
Cag University
Erzincan University
Istanbul Aydin University
Istanbul Bilgi University
Izmir Institute of Technology
Kafkas University
Malaysian Nuclear Agency
Marmara University
Mersin University
Plasma Physics Research Center
Riga Technical University
