Eid,Funding_Agency_Name,Subject_Field,Year
2-s2.0-85053164279,Chulalongkorn University NSFC National Science Foundation State Key Laboratory of Metastable Materials Science and Technology Thailand National Organization Yanshan University,2500,2018
2-s2.0-85053164279,Chulalongkorn University NSFC National Science Foundation State Key Laboratory of Metastable Materials Science and Technology Thailand National Organization Yanshan University,3104,2018
2-s2.0-85049101440,,1403,2018
2-s2.0-85049101440,,2000,2018
2-s2.0-85054140369,"Faculty of Medicine, Khon Kaen University Rajamangala University Thailand National Organization",3612,2018
2-s2.0-85097515350,,1602,2018
2-s2.0-85097515350,,3003,2018
2-s2.0-85097515350,,1607,2018
2-s2.0-85097515350,,1603,2018
2-s2.0-85041527766,,2741,2018
2-s2.0-85041527766,,2715,2018
2-s2.0-85053470598,,2747,2018
2-s2.0-85052134000,Chulalongkorn University Graduate Center Thailand National Organization,1300,2018
2-s2.0-85052134000,Chulalongkorn University Graduate Center Thailand National Organization,1100,2018
2-s2.0-85052134000,Chulalongkorn University Graduate Center Thailand National Organization,1000,2018
2-s2.0-85047155505,,1000,2018
2-s2.0-85050817664,CNPq Chulalongkorn University Ministry for Science and Technology of Brazil State University,2719,2018
2-s2.0-85050817664,CNPq Chulalongkorn University Ministry for Science and Technology of Brazil State University,2739,2018
2-s2.0-85044660689,"Chulalongkorn University PTT Phenol Co., Ltd. Thailand National Organization",3108,2018
2-s2.0-85045376379,,2706,2018
2-s2.0-85054527535,,3106,2018
2-s2.0-85059443311,,3100,2018
2-s2.0-85020664359,,2808,2018
2-s2.0-85020664359,,2804,2018
2-s2.0-85047007592,,1503,2018
2-s2.0-85047007592,,1508,2018
2-s2.0-85056927218,,2717,2018
2-s2.0-85060184892,Chulalongkorn University Thailand National Organization,2700,2018
2-s2.0-85022177717,,2207,2018
2-s2.0-85022177717,,1700,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",1607,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",1606,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",1704,2018
2-s2.0-85048387514,"Faculty of Medicine, Khon Kaen University Thailand National Organization",2505,2018
2-s2.0-85059951245,,2500,2018
2-s2.0-85059951245,,3104,2018
2-s2.0-85059951245,,2211,2018
2-s2.0-85059951245,,2210,2018
2-s2.0-85043236866,,3304,2018
2-s2.0-85043236866,,2200,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,3404,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,3403,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,1103,2018
2-s2.0-85039449530,Chulalongkorn University Thailand National Organization,3402,2018
2-s2.0-85053161564,,1702,2018
2-s2.0-85053161564,,1706,2018
2-s2.0-85053161564,,2201,2018
2-s2.0-85053161564,,3105,2018
2-s2.0-85047618371,Chulalongkorn University Thailand National Organization,1700,2018
2-s2.0-85047618371,Chulalongkorn University Thailand National Organization,2500,2018
2-s2.0-85047618371,Chulalongkorn University Thailand National Organization,2200,2018
2-s2.0-85049207535,Canon Foundation Chulalongkorn University Hokkaido University Thailand National Organization,2200,2018
2-s2.0-85058885422,,2706,2018
2-s2.0-85045554892,,1910,2018
2-s2.0-85045554892,,1104,2018
2-s2.0-85045554892,,2212,2018
2-s2.0-85045554892,,1902,2018
2-s2.0-85070861352,,1706,2018
2-s2.0-85070861352,,1708,2018
2-s2.0-85070861352,,1802,2018
2-s2.0-85070861352,,2208,2018
2-s2.0-85070861352,,3105,2018
2-s2.0-85060277158,,2200,2018
2-s2.0-85054972627,Chulalongkorn University National Research University Thailand National Organization,2707,2018
2-s2.0-85038867462,Chulalongkorn University Thailand National Organization,2403,2018
2-s2.0-85038867462,Chulalongkorn University Thailand National Organization,1309,2018
2-s2.0-85144177415,,2700,2018
2-s2.0-85049655427,,3602,2018
2-s2.0-85035088244,,2105,2018
2-s2.0-85035088244,,2103,2018
2-s2.0-85035088244,,3104,2018
2-s2.0-85035088244,,2102,2018
2-s2.0-85040547931,,1314,2018
2-s2.0-85040547931,,2809,2018
2-s2.0-85040547931,,2737,2018
2-s2.0-85040547931,,2802,2018
2-s2.0-85054821288,,2500,2018
2-s2.0-85054821288,,2211,2018
2-s2.0-85054821288,,2210,2018
2-s2.0-85044339398,,2205,2018
2-s2.0-85044339398,,3313,2018
2-s2.0-85044339398,,1507,2018
2-s2.0-85041748957,,3106,2018
2-s2.0-85062171866,,3304,2018
2-s2.0-85047314220,,1500,2018
2-s2.0-85048179306,Chulalongkorn University Thailand National Organization,1110,2018
2-s2.0-85147713497,,2719,2018
2-s2.0-85147713497,,2739,2018
2-s2.0-85057601344,Center Kasetsart University National Research University Thailand National Organization USAID,1100,2018
2-s2.0-85047167635,100th Anniversary Chulalongkorn University Chulalongkorn University,1313,2018
2-s2.0-85047167635,100th Anniversary Chulalongkorn University Chulalongkorn University,3004,2018
2-s2.0-85047167635,100th Anniversary Chulalongkorn University Chulalongkorn University,3003,2018
2-s2.0-85047167635,100th Anniversary Chulalongkorn University Chulalongkorn University,3002,2018
2-s2.0-85047167635,100th Anniversary Chulalongkorn University Chulalongkorn University,2707,2018
2-s2.0-85052331097,,1702,2018
2-s2.0-85052331097,,1706,2018
2-s2.0-85052331097,,2606,2018
2-s2.0-85042389036,Chulalongkorn University Thailand National Organization,1605,2018
2-s2.0-85049301587,,1400,2018
2-s2.0-85049301587,,1200,2018
2-s2.0-85049301587,,3300,2018
2-s2.0-85049301587,,2000,2018
2-s2.0-85050807596,,2733,2018
2-s2.0-85041495380,Allergan Allergan and Merz Bayer Vital Bristol Myers Squibb CU-CLUSTER fund of Chulalong-korn University Daiichi Sankyo Ipsen Pharma Merz Pharma Pfizer,2808,2018
2-s2.0-85041495380,Allergan Allergan and Merz Bayer Vital Bristol Myers Squibb CU-CLUSTER fund of Chulalong-korn University Daiichi Sankyo Ipsen Pharma Merz Pharma Pfizer,2728,2018
2-s2.0-85037621941,Boston Scientific Boston Scientific Corporation US National Institute Veterans Affairs Puget Sound Health Care System,2748,2018
2-s2.0-85057626112,"Department of Science and Technology, Ministry of Science and Technology Thailand National Organization",1600,2018
2-s2.0-85057626112,"Department of Science and Technology, Ministry of Science and Technology Thailand National Organization",2304,2018
2-s2.0-85057626112,"Department of Science and Technology, Ministry of Science and Technology Thailand National Organization",1500,2018
2-s2.0-85057626112,"Department of Science and Technology, Ministry of Science and Technology Thailand National Organization",2105,2018
2-s2.0-85045640382,,2700,2018
2-s2.0-85045459881,,2205,2018
2-s2.0-85045459881,,1909,2018
2-s2.0-85045459881,,1111,2018
2-s2.0-85056320658,Chulalongkorn University Thailand Graduate Institute Thailand National Organization,2700,2018
2-s2.0-85054932486,Chulalongkorn University Thailand National Organization,2800,2018
2-s2.0-85054932486,Chulalongkorn University Thailand National Organization,1300,2018
2-s2.0-85054932486,Chulalongkorn University Thailand National Organization,1100,2018
2-s2.0-85052737316,,2800,2018
2-s2.0-85052737316,,2808,2018
2-s2.0-85052737316,,2728,2018
2-s2.0-85052737316,,2738,2018
2-s2.0-85032511738,,2502,2018
2-s2.0-85032511738,,1500,2018
2-s2.0-85032511738,,2507,2018
2-s2.0-85063330758,,1706,2018
2-s2.0-85063330758,,1705,2018
2-s2.0-85041557278,,2727,2018
2-s2.0-85052839755,,3106,2018
2-s2.0-85048495781,Center Chulalongkorn University Thailand National Organization,1105,2018
2-s2.0-85048495781,Center Chulalongkorn University Thailand National Organization,2303,2018
2-s2.0-85045281768,Chulalongkorn University Thailand National Organization,1605,2018
2-s2.0-85045281768,Chulalongkorn University Thailand National Organization,2507,2018
2-s2.0-85045281768,Chulalongkorn University Thailand National Organization,2505,2018
2-s2.0-85042553922,"Faculty of Medicine, Khon Kaen University Max Planck Institute Thailand National Organization",1311,2018
2-s2.0-85042553922,"Faculty of Medicine, Khon Kaen University Max Planck Institute Thailand National Organization",2716,2018
2-s2.0-85055049678,MSIT National Research Foundation,2702,2018
2-s2.0-85055049678,MSIT National Research Foundation,2746,2018
2-s2.0-85055049678,MSIT National Research Foundation,2734,2018
2-s2.0-85055049678,MSIT National Research Foundation,2741,2018
2-s2.0-85055441994,"Chiang Mai University Chulalongkorn University Faculty of Medicine , Chiang Mai University Faculty of Medicine, Khon Kaen University Health System Research Institute Mahidol University Prince of Songkla University Thailand National Organization",2700,2018
2-s2.0-85052636861,Chulalongkorn University National Pork Board Pork Checkoff,2404,2018
2-s2.0-85052636861,Chulalongkorn University National Pork Board Pork Checkoff,3400,2018
2-s2.0-85059461222,,3100,2018
2-s2.0-85063205666,,1106,2018
2-s2.0-85063205666,,2404,2018
2-s2.0-85063205666,,3306,2018
2-s2.0-85063205666,,3601,2018
2-s2.0-85063205666,,1110,2018
2-s2.0-85046876678,Chulalongkorn University Hundred Excellent Innovative Talents Support Program in Hebei Province NSFC National Science Foundation Shenzhen Development & Reform Commission Foundation State Key Laboratory of Metastable Materials Science and Technology Thailand National Organization Yanshan University,2105,2018
2-s2.0-85046876678,Chulalongkorn University Hundred Excellent Innovative Talents Support Program in Hebei Province NSFC National Science Foundation Shenzhen Development & Reform Commission Foundation State Key Laboratory of Metastable Materials Science and Technology Thailand National Organization Yanshan University,2500,2018
2-s2.0-85046876678,Chulalongkorn University Hundred Excellent Innovative Talents Support Program in Hebei Province NSFC National Science Foundation Shenzhen Development & Reform Commission Foundation State Key Laboratory of Metastable Materials Science and Technology Thailand National Organization Yanshan University,2208,2018
2-s2.0-85043307556,,2721,2018
2-s2.0-85043307556,,2715,2018
2-s2.0-85043307556,,2736,2018
2-s2.0-85047194755,Chulalongkorn University Ministry of Science and Technology in Taiwan,3317,2018
2-s2.0-85058064727,,3304,2018
2-s2.0-85058064727,,2200,2018
2-s2.0-85027562644,,3200,2018
2-s2.0-85056609623,Chulalongkorn University,2729,2018
2-s2.0-85043485030,NHLBI Thailand National Organization,1314,2018
2-s2.0-85043485030,NHLBI Thailand National Organization,1307,2018
2-s2.0-85039846745,,2613,2018
2-s2.0-85058965397,,1300,2018
2-s2.0-85058965397,,1100,2018
2-s2.0-85041139198,,3103,2018
2-s2.0-85041139198,,1912,2018
2-s2.0-85052747581,Chulalongkorn University Nagaoka University,2500,2018
2-s2.0-85052747581,Chulalongkorn University Nagaoka University,2211,2018
2-s2.0-85052747581,Chulalongkorn University Nagaoka University,2210,2018
2-s2.0-85054031311,,1712,2018
2-s2.0-85054031311,,1709,2018
2-s2.0-85054031311,,1707,2018
2-s2.0-85054031311,,1705,2018
2-s2.0-85047729577,,2700,2018
2-s2.0-85147668502,,2719,2018
2-s2.0-85147668502,,2739,2018
2-s2.0-85058935797,Chulalongkorn University Polish Ministry of Science and Higher Education Polish National Science Centre,3106,2018
2-s2.0-85046906040,,2739,2018
2-s2.0-85050968237,Chulalongkorn University Thailand National Organization,1503,2018
2-s2.0-85050968237,Chulalongkorn University Thailand National Organization,1600,2018
2-s2.0-85049964164,,2721,2018
2-s2.0-85049964164,,2715,2018
2-s2.0-85057847743,,2700,2018
2-s2.0-85057520893,,2700,2018
2-s2.0-85041230497,Thailand National Organization,1313,2018
2-s2.0-85041230497,Thailand National Organization,3004,2018
2-s2.0-85047013666,,1000,2018
2-s2.0-85051208796,Chulalongkorn University National Research University Thailand National Organization,1305,2018
2-s2.0-85051208796,Chulalongkorn University National Research University Thailand National Organization,1314,2018
2-s2.0-85051208796,Chulalongkorn University National Research University Thailand National Organization,2402,2018
2-s2.0-85037147132,,2730,2018
2-s2.0-85037147132,,1306,2018
2-s2.0-85041680827,Chulalongkorn University Thailand National Organization,3004,2018
2-s2.0-85041680827,Chulalongkorn University Thailand National Organization,2406,2018
2-s2.0-85053778287,Chulalongkorn University Thailand National Organization,2800,2018
2-s2.0-85053778287,Chulalongkorn University Thailand National Organization,1300,2018
2-s2.0-85053778287,Chulalongkorn University Thailand National Organization,3000,2018
2-s2.0-85056084379,NSFC National Science Foundation Thailand National Organization,2504,2018
2-s2.0-85056084379,NSFC National Science Foundation Thailand National Organization,1503,2018
2-s2.0-85056084379,NSFC National Science Foundation Thailand National Organization,2503,2018
2-s2.0-85056084379,NSFC National Science Foundation Thailand National Organization,1600,2018
2-s2.0-85056084379,NSFC National Science Foundation Thailand National Organization,2508,2018
2-s2.0-85056084379,NSFC National Science Foundation Thailand National Organization,2506,2018
2-s2.0-85056084379,NSFC National Science Foundation Thailand National Organization,2505,2018
2-s2.0-85042128317,,2800,2018
2-s2.0-85042128317,,3005,2018
2-s2.0-85048940239,,1305,2018
2-s2.0-85048940239,,1106,2018
2-s2.0-85048940239,,2402,2018
2-s2.0-85049118943,,3100,2018
2-s2.0-85049118943,,1605,2018
2-s2.0-85049118943,,2507,2018
2-s2.0-85049118943,,2505,2018
2-s2.0-85051439474,Burapha University Thailand National Organization,1500,2018
2-s2.0-85042655838,,2200,2018
2-s2.0-85048748130,,3106,2018
2-s2.0-85050402448,,2731,2018
2-s2.0-85078338096,,3200,2018
2-s2.0-85058680496,,1600,2018
2-s2.0-85058680496,,2500,2018
2-s2.0-85058680496,,2200,2018
2-s2.0-85057616442,,1706,2018
2-s2.0-85057616442,,1707,2018
2-s2.0-85057616442,,1710,2018
2-s2.0-85057616442,,2214,2018
2-s2.0-85057616442,,1702,2018
2-s2.0-85041960467,Chulalongkorn University Thailand National Organization,1500,2018
2-s2.0-85041960467,Chulalongkorn University Thailand National Organization,2500,2018
2-s2.0-85044456392,Chulalongkorn University Thailand National Organization,3005,2018
2-s2.0-85066475133,,1702,2018
2-s2.0-85066475133,,1705,2018
2-s2.0-85066475133,,1706,2018
2-s2.0-85066475133,,2203,2018
2-s2.0-85066475133,,2205,2018
2-s2.0-85066475133,,2606,2018
2-s2.0-85074965846,,2719,2018
2-s2.0-85074965846,,2739,2018
2-s2.0-85050155670,,1401,2018
2-s2.0-85050155670,,1702,2018
2-s2.0-85050155670,,1706,2018
2-s2.0-85050155670,,2209,2018
2-s2.0-85050155670,,3301,2018
2-s2.0-85050155670,,1711,2018
2-s2.0-85050155670,,1802,2018
2-s2.0-85050155670,,1803,2018
2-s2.0-85041861788,,1106,2018
2-s2.0-85041861788,,1600,2018
2-s2.0-85041861788,,1500,2018
2-s2.0-85060154185,National Research University Thailand National Organization,2700,2018
2-s2.0-85022071002,Burapha University Mahidol University Thailand National Organization,1314,2018
2-s2.0-85038014269,,2403,2018
2-s2.0-85038014269,,1309,2018
2-s2.0-85058433758,,1710,2018
2-s2.0-85058433758,,1712,2018
2-s2.0-85058433758,,1705,2018
2-s2.0-85058433758,,1707,2018
2-s2.0-85026847132,Chulalongkorn University National Research University Thailand National Organization,3104,2018
2-s2.0-85026847132,Chulalongkorn University National Research University Thailand National Organization,1606,2018
2-s2.0-85051416784,,2003,2018
2-s2.0-85051416784,,2002,2018
2-s2.0-85041720090,Chulalongkorn University Thailand National Organization,2105,2018
2-s2.0-85041720090,Chulalongkorn University Thailand National Organization,2103,2018
2-s2.0-85041720090,Chulalongkorn University Thailand National Organization,3104,2018
2-s2.0-85041720090,Chulalongkorn University Thailand National Organization,2102,2018
2-s2.0-85042707817,Chulalongkorn University Thailand National Organization,1602,2018
2-s2.0-85055491350,"Chulalongkorn University Rachadapiseksomphot Endowment Fund of the Faculty of Medicine, Chulalongkorn University",2734,2018
2-s2.0-85055491350,"Chulalongkorn University Rachadapiseksomphot Endowment Fund of the Faculty of Medicine, Chulalongkorn University",1307,2018
2-s2.0-85084966821,,1501,2018
2-s2.0-85084966821,,1508,2018
2-s2.0-85054410604,,1300,2018
2-s2.0-85054410604,,1100,2018
2-s2.0-85054410604,,1000,2018
2-s2.0-85048311210,,1602,2018
2-s2.0-85048311210,,1601,2018
2-s2.0-85048311210,,1313,2018
2-s2.0-85048311210,,3003,2018
2-s2.0-85048311210,,3002,2018
2-s2.0-85048311210,,1606,2018
2-s2.0-85048311210,,1605,2018
2-s2.0-85050805351,Center Chulalongkorn University Henry M. Jackson Foundation US Department of Defense,2723,2018
2-s2.0-85050805351,Center Chulalongkorn University Henry M. Jackson Foundation US Department of Defense,2725,2018
2-s2.0-85046413510,,1000,2018
2-s2.0-85041727486,Chulalongkorn University Japan Advanced Institute Thailand National Organization,1602,2018
2-s2.0-85041727486,Chulalongkorn University Japan Advanced Institute Thailand National Organization,1303,2018
2-s2.0-85041727486,Chulalongkorn University Japan Advanced Institute Thailand National Organization,3107,2018
2-s2.0-85041727486,Chulalongkorn University Japan Advanced Institute Thailand National Organization,3105,2018
2-s2.0-85041727486,Chulalongkorn University Japan Advanced Institute Thailand National Organization,2208,2018
2-s2.0-85053335454,Chulalongkorn University Knut and Alice Wallenberg Linköping University Swedish Research Council Thailand National Organization,2504,2018
2-s2.0-85059965712,,1705,2018
2-s2.0-85059965712,,1706,2018
2-s2.0-85059965712,,1707,2018
2-s2.0-85059965712,,1710,2018
2-s2.0-85030673725,"Department of Science and Technology, Ministry of Science and Technology Nanotechnology Center Thailand National Organization",1500,2018
2-s2.0-85030689461,,1909,2018
2-s2.0-85030689461,,3311,2018
2-s2.0-85030689461,,1907,2018
2-s2.0-85028694310,,2305,2018
2-s2.0-85028694310,,2304,2018
2-s2.0-85028694310,,2311,2018
2-s2.0-85028694310,,2310,2018
2-s2.0-85028694310,,2307,2018
2-s2.0-85045043144,,2720,2018
2-s2.0-85057757276,Chulalongkorn University Thailand National Organization,1600,2018
2-s2.0-85057757276,Chulalongkorn University Thailand National Organization,1500,2018
2-s2.0-85058100356,,3106,2018
2-s2.0-85050131468,,1407,2018
2-s2.0-85050131468,,1408,2018
2-s2.0-85050131468,,1705,2018
2-s2.0-85050131468,,1802,2018
2-s2.0-85050131468,,1803,2018
2-s2.0-85050131468,,2209,2018
2-s2.0-85050131468,,2606,2018
2-s2.0-85045939365,Chulalongkorn University Thailand National Organization,1500,2018
2-s2.0-85045939365,Chulalongkorn University Thailand National Organization,2500,2018
2-s2.0-85020815543,,2215,2018
2-s2.0-85020815543,,1909,2018
2-s2.0-85020815543,,3311,2018
2-s2.0-85020815543,,1907,2018
2-s2.0-85052754077,,2500,2018
2-s2.0-85052754077,,2211,2018
2-s2.0-85052754077,,2210,2018
2-s2.0-85049830878,,1712,2018
2-s2.0-85049830878,,1709,2018
2-s2.0-85049830878,,1707,2018
2-s2.0-85049830878,,1705,2018
2-s2.0-85040167175,National Wildlife Research Center USDA,1602,2018
2-s2.0-85047198537,,2602,2018
2-s2.0-85129416364,,2719,2018
2-s2.0-85129416364,,2739,2018
2-s2.0-85047222753,,1305,2018
2-s2.0-85047222753,,1502,2018
2-s2.0-85047222753,,1303,2018
2-s2.0-85047222753,,2402,2018
2-s2.0-85047222753,,1312,2018
2-s2.0-85041811056,,3304,2018
2-s2.0-85041811056,,3500,2018
2-s2.0-85055188449,"CU Graduate School Thesis Grant, Chulalongkorn University Thailand National Organization",3400,2018
2-s2.0-85047883101,,3106,2018
2-s2.0-85050130167,,2404,2018
2-s2.0-85050130167,,1105,2018
2-s2.0-85050130167,,1312,2018
2-s2.0-85050130167,,1311,2018
2-s2.0-85050130167,,2726,2018
2-s2.0-85050130167,,2725,2018
2-s2.0-85008354493,,2213,2018
2-s2.0-85008354493,,3311,2018
2-s2.0-85008354493,,2739,2018
2-s2.0-85049253738,,2740,2018
2-s2.0-85044737812,,2403,2018
2-s2.0-85044737812,,1309,2018
2-s2.0-85056065681,,2740,2018
2-s2.0-85056065681,,2706,2018
2-s2.0-85053161886,Chulalongkorn University Thailand National Organization,2404,2018
2-s2.0-85053161886,Chulalongkorn University Thailand National Organization,2403,2018
2-s2.0-85053161886,Chulalongkorn University Thailand National Organization,3004,2018
2-s2.0-85053161886,Chulalongkorn University Thailand National Organization,2726,2018
2-s2.0-85042682561,,2708,2018
2-s2.0-85050377983,Chulalongkorn University Prince of Songkla University Thailand National Organization,1802,2018
2-s2.0-85058712631,,2701,2018
2-s2.0-85058712631,,3301,2018
2-s2.0-85058712631,,3001,2018
2-s2.0-85058712631,,2719,2018
2-s2.0-85039159576,Chulalongkorn University Fogarty International Center Thailand National Organization US-Thai,2738,2018
2-s2.0-85039159576,Chulalongkorn University Fogarty International Center Thailand National Organization US-Thai,2803,2018
2-s2.0-85048709924,,2504,2018
2-s2.0-85048709924,,3107,2018
2-s2.0-85048709924,,3104,2018
2-s2.0-85048709924,,1607,2018
2-s2.0-85048709924,,1606,2018
2-s2.0-85048709924,,2505,2018
2-s2.0-85021300848,,3612,2018
2-s2.0-85021300848,,2742,2018
2-s2.0-85062859793,,1000,2018
2-s2.0-85056798729,"Chulalongkorn University Office of Research Affairs, Chulalongkorn University",3207,2018
2-s2.0-85049155044,Chulalongkorn University,2200,2018
2-s2.0-85035331598,,3500,2018
2-s2.0-85045011508,Chulalongkorn University Hymenoptera Institute MBIE Russian Foundation Thailand National Organization,1109,2018
2-s2.0-85047668404,Chulalongkorn University Thailand National Organization,1500,2018
2-s2.0-85047668404,Chulalongkorn University Thailand National Organization,2500,2018
2-s2.0-85031812835,"Center Graduate School, Chiang Mai University Thailand National Organization",2504,2018
2-s2.0-85031812835,"Center Graduate School, Chiang Mai University Thailand National Organization",2502,2018
2-s2.0-85031812835,"Center Graduate School, Chiang Mai University Thailand National Organization",2508,2018
2-s2.0-85031812835,"Center Graduate School, Chiang Mai University Thailand National Organization",1505,2018
2-s2.0-85054036077,,3100,2018
2-s2.0-85068981951,,2306,2018
2-s2.0-85068981951,,1105,2018
2-s2.0-85068981951,,2303,2018
2-s2.0-85049863844,,3106,2018
2-s2.0-85044845660,,2404,2018
2-s2.0-85044845660,,2723,2018
2-s2.0-85044845660,,2403,2018
2-s2.0-85044845660,,2726,2018
2-s2.0-85040090503,,3306,2018
2-s2.0-85040090503,,2739,2018
2-s2.0-85101583101,,3312,2018
2-s2.0-85101583101,,3303,2018
2-s2.0-85101583101,,3315,2018
2-s2.0-85101583101,,3316,2018
2-s2.0-85053619106,,2746,2018
2-s2.0-85053619106,,3504,2018
2-s2.0-85053619106,,2734,2018
2-s2.0-85053619106,,3501,2018
2-s2.0-85053619106,,2741,2018
2-s2.0-85058903604,,2000,2018
2-s2.0-85049251897,,2000,2018
2-s2.0-85049251897,,1406,2018
2-s2.0-85052814087,,2204,2018
2-s2.0-85034585467,,2304,2018
2-s2.0-85034585467,,2310,2018
2-s2.0-85034585467,,2307,2018
2-s2.0-85052472790,Chulalongkorn University Japan Society for Promotion of Science,1907,2018
2-s2.0-85052103724,Chulalongkorn University Thailand National Organization,1600,2018
2-s2.0-85052103724,Chulalongkorn University Thailand National Organization,1500,2018
2-s2.0-85045506137,,1400,2018
2-s2.0-85045506137,,1200,2018
2-s2.0-85045506137,,3300,2018
2-s2.0-85045506137,,2000,2018
2-s2.0-85051063546,Chulalongkorn University Newton Fund Thailand National Organization,1311,2018
2-s2.0-85051063546,Chulalongkorn University Newton Fund Thailand National Organization,2716,2018
2-s2.0-85045208701,,2719,2018
2-s2.0-85047073581,Chulalongkorn University Meijo University Sumitomo Foundation,1304,2018
2-s2.0-85047073581,Chulalongkorn University Meijo University Sumitomo Foundation,1303,2018
2-s2.0-85047073581,Chulalongkorn University Meijo University Sumitomo Foundation,1312,2018
2-s2.0-85057108057,,1305,2018
2-s2.0-85057108057,,1103,2018
2-s2.0-85057108057,,1310,2018
2-s2.0-85040841375,,3106,2018
2-s2.0-85044744207,,3400,2018
2-s2.0-85052628288,,2201,2018
2-s2.0-85052628288,,3101,2018
2-s2.0-85051180271,,2727,2018
2-s2.0-85051180271,,2902,2018
2-s2.0-85054454626,,2741,2018
2-s2.0-85048976221,Thailand National Organization,1100,2018
2-s2.0-85059094534,Chulalongkorn University Thailand National Organization,2305,2018
2-s2.0-85059094534,Chulalongkorn University Thailand National Organization,2310,2018
2-s2.0-85059094534,Chulalongkorn University Thailand National Organization,2308,2018
2-s2.0-85089568477,,3300,2018
2-s2.0-85052199402,"Chiang Mai University Chulalongkorn University Faculty of Medicine , Chiang Mai University Faculty of Medicine, Khon Kaen University Health System Research Institute Mahidol University Prince of Songkla University Thailand National Organization",2700,2018
2-s2.0-85076352482,,2102,2018
2-s2.0-85076352482,,2208,2018
2-s2.0-85076352482,,1708,2018
2-s2.0-85047724403,,2725,2018
2-s2.0-85047724403,,2736,2018
2-s2.0-85147695124,,2719,2018
2-s2.0-85147695124,,2739,2018
2-s2.0-85019615771,Chulalongkorn University Thailand National Organization,3611,2018
2-s2.0-85019615771,Chulalongkorn University Thailand National Organization,3003,2018
2-s2.0-85048749584,Anderson Cancer Center National Cancer Institute National Health Research Institute,3108,2018
2-s2.0-85048749584,Anderson Cancer Center National Cancer Institute National Health Research Institute,2730,2018
2-s2.0-85048749584,Anderson Cancer Center National Cancer Institute National Health Research Institute,2741,2018
2-s2.0-85048749584,Anderson Cancer Center National Cancer Institute National Health Research Institute,1306,2018
2-s2.0-85108484985,,3300,2018
2-s2.0-85047383489,,3100,2018
2-s2.0-85053818719,,2612,2018
2-s2.0-85053818719,,2605,2018
2-s2.0-85053818719,,2604,2018
2-s2.0-85023170224,,1602,2018
2-s2.0-85023170224,,1500,2018
2-s2.0-85023170224,,2507,2018
2-s2.0-85055862909,,1705,2018
2-s2.0-85055862909,,1708,2018
2-s2.0-85055862909,,1710,2018
2-s2.0-85055862909,,3315,2018
2-s2.0-85031821306,Ferring Pharmaceuticals Ltd. Thailand National Organization,2748,2018
2-s2.0-85052968790,Allana Potash Corporation Landmark Graphics Corporation Landmark University Leverhulme Trust NERC National Research Council,1908,2018
2-s2.0-85052968790,Allana Potash Corporation Landmark Graphics Corporation Landmark University Leverhulme Trust NERC National Research Council,1906,2018
2-s2.0-85042906672,,2808,2018
2-s2.0-85042906672,,2728,2018
2-s2.0-85040322317,CREST JST,2200,2018
2-s2.0-85040322317,CREST JST,3100,2018
2-s2.0-85054868885,Indonesia Endowment Fund for Education LPDP,3004,2018
2-s2.0-85054868885,Indonesia Endowment Fund for Education LPDP,3003,2018
2-s2.0-85054868885,Indonesia Endowment Fund for Education LPDP,2736,2018
2-s2.0-85056625659,,1307,2018
2-s2.0-85045759869,Chulalongkorn University Environment and Meteorological Department Thailand National Organization,2310,2018
2-s2.0-85045759869,Chulalongkorn University Environment and Meteorological Department Thailand National Organization,1902,2018
2-s2.0-85045759869,Chulalongkorn University Environment and Meteorological Department Thailand National Organization,2308,2018
2-s2.0-85045759869,Chulalongkorn University Environment and Meteorological Department Thailand National Organization,2307,2018
2-s2.0-85039417015,,2602,2018
2-s2.0-85039417015,,2612,2018
2-s2.0-85039417015,,2608,2018
2-s2.0-85039417015,,2607,2018
2-s2.0-85051677305,Chulalongkorn University,3500,2018
2-s2.0-85048034863,,1705,2018
2-s2.0-85048034863,,1706,2018
2-s2.0-85048034863,,1708,2018
2-s2.0-85048034863,,2213,2018
2-s2.0-85052729319,,1300,2018
2-s2.0-85042677604,Chulalongkorn University Thailand National Organization,2725,2018
2-s2.0-85054500037,,1708,2018
2-s2.0-85054500037,,1705,2018
2-s2.0-85054500037,,2208,2018
2-s2.0-85050662074,Chulalongkorn University,2500,2018
2-s2.0-85050662074,Chulalongkorn University,3104,2018
2-s2.0-85050662074,Chulalongkorn University,2211,2018
2-s2.0-85050662074,Chulalongkorn University,2210,2018
2-s2.0-85044411323,Mahidol University Merck Sharp & Dohme ResMed,2740,2018
2-s2.0-85044411323,Mahidol University Merck Sharp & Dohme ResMed,2808,2018
2-s2.0-85044411323,Mahidol University Merck Sharp & Dohme ResMed,2728,2018
2-s2.0-85028502506,,1907,2018
2-s2.0-85028502506,,1904,2018
2-s2.0-85063423845,,3300,2018
2-s2.0-85063423845,,2000,2018
2-s2.0-85063423845,,1400,2018
2-s2.0-85037972365,Chulalongkorn University Ministry of Education Thailand National Organization,3003,2018
2-s2.0-85057321973,,1000,2018
