Funding_Agency_Country_Code
1814991
1605651
2750405
6252001
3469034
2921044
3686110
289688
174982
2658434
3996063
298795
6695072
798544
2635167
1269750
1880251
2963597
146669
3077311
1668284
2264397
2017370
453733
660013
2782113
2802361
2510769
2186224
719819
1835841
3175395
3658394
1733045
6290252
690791
3017382
732800
130758
1168579
1861060
953987
390903
3202326
597427
6251999
2077456
2623032
294640
3895114
3865483
3190538
614540
2542007
2661886
1562822
1227603
3144096
337996
1821275
1694008
1819730
3932488
290557
2464461
357994
1522867
3439705
99237
617790
3595528
3042058
1643084
2629691
102358
3057568
2960313
1252634
272103
226074
798549
3489940
3437598
3703430
1327865
587116
458258
1820814
286963
2328926
783754
192950
3624060
2589581
3508796
2233387
1282988
1655842
2215636
3355338
895949
