Eid,Affiliation
2-s2.0-85047194755,60103514
2-s2.0-85058064727,60028190
2-s2.0-85027562644,60025779
2-s2.0-85027562644,60028190
2-s2.0-85056609623,60028190
2-s2.0-85043485030,60005281
2-s2.0-85043485030,60028190
2-s2.0-85039846745,60028190
2-s2.0-85058965397,60012718
2-s2.0-85058965397,60121503
2-s2.0-85058965397,60028190
2-s2.0-85041139198,60011001
2-s2.0-85041139198,60025272
2-s2.0-85041139198,60103895
2-s2.0-85041139198,60000264
2-s2.0-85041139198,60015324
2-s2.0-85041139198,60008435
2-s2.0-85041139198,60029701
2-s2.0-85041139198,60030699
2-s2.0-85041139198,60011173
2-s2.0-85052747581,60028190
2-s2.0-85052747581,60018352
2-s2.0-85052747581,60014471
2-s2.0-85054031311,60028190
2-s2.0-85047729577,60121202
2-s2.0-85047729577,60028190
2-s2.0-85047729577,60012311
2-s2.0-85047729577,60022769
2-s2.0-85047729577,60010715
2-s2.0-85047729577,60010413
2-s2.0-85047729577,60031069
2-s2.0-85047729577,60012936
2-s2.0-85147668502,60028190
2-s2.0-85058935797,60021361
2-s2.0-85058935797,60028190
2-s2.0-85058935797,60070009
2-s2.0-85046906040,60028190
2-s2.0-85046906040,60199575
2-s2.0-85050968237,60028190
2-s2.0-85050968237,60113829
2-s2.0-85049964164,60105348
2-s2.0-85049964164,60022183
2-s2.0-85057847743,60114314
2-s2.0-85057847743,60069385
2-s2.0-85057847743,60014439
2-s2.0-85057847743,60002620
2-s2.0-85057847743,60007988
2-s2.0-85057847743,60007278
2-s2.0-85057520893,60028190
2-s2.0-85057520893,60011189
2-s2.0-85057520893,121701445
2-s2.0-85057520893,101526262
2-s2.0-85041230497,60028190
2-s2.0-85047013666,60028190
2-s2.0-85047013666,60011610
2-s2.0-85051208796,60028190
2-s2.0-85037147132,60028190
2-s2.0-85041680827,60028190
2-s2.0-85053778287,60023217
2-s2.0-85053778287,60012718
2-s2.0-85053778287,60028190
2-s2.0-85056084379,60018465
2-s2.0-85056084379,60091507
2-s2.0-85056084379,60110787
2-s2.0-85042128317,60028190
2-s2.0-85042128317,60009116
2-s2.0-85048940239,60028190
2-s2.0-85048940239,60012718
2-s2.0-85049118943,60028190
2-s2.0-85051439474,60009116
2-s2.0-85051439474,60000316
2-s2.0-85051439474,60028190
2-s2.0-85051439474,60021543
2-s2.0-85042655838,60028190
2-s2.0-85048748130,60070862
2-s2.0-85048748130,60025205
2-s2.0-85050402448,60022183
2-s2.0-85050402448,60028190
2-s2.0-85078338096,60007919
2-s2.0-85078338096,60028190
2-s2.0-85078338096,60071113
2-s2.0-85058680496,60026326
2-s2.0-85058680496,60091507
2-s2.0-85057616442,60028190
2-s2.0-85041960467,60028190
2-s2.0-85041960467,112583039
2-s2.0-85044456392,60028190
2-s2.0-85044456392,60011947
2-s2.0-85044456392,60020661
2-s2.0-85044456392,120452777
2-s2.0-85066475133,60028190
2-s2.0-85074965846,60028190
2-s2.0-85074965846,60091468
2-s2.0-85050155670,60012448
2-s2.0-85050155670,60028190
2-s2.0-85041861788,60028190
2-s2.0-85041861788,60013610
2-s2.0-85060154185,60028190
2-s2.0-85060154185,60006964
2-s2.0-85022071002,60012718
2-s2.0-85022071002,60009116
2-s2.0-85022071002,60028190
2-s2.0-85038014269,60028190
2-s2.0-85038014269,60050715
2-s2.0-85058433758,60028190
2-s2.0-85026847132,60028190
2-s2.0-85026847132,60114641
2-s2.0-85026847132,60000881
2-s2.0-85051416784,60028190
2-s2.0-85041720090,60028190
2-s2.0-85041720090,112583039
2-s2.0-85042707817,60028190
2-s2.0-85042707817,60000316
2-s2.0-85042707817,60004391
2-s2.0-85055491350,60022183
2-s2.0-85055491350,60028190
2-s2.0-85084966821,60028190
2-s2.0-85054410604,60028190
2-s2.0-85048311210,60194921
2-s2.0-85048311210,60022096
2-s2.0-85048311210,60017165
2-s2.0-85048311210,60012080
2-s2.0-85048311210,60189457
2-s2.0-85048311210,60075974
2-s2.0-85048311210,60028190
2-s2.0-85050805351,60028190
2-s2.0-85050805351,116068966
2-s2.0-85050805351,60012786
2-s2.0-85050805351,60016965
2-s2.0-85046413510,60028190
2-s2.0-85041727486,60011375
2-s2.0-85041727486,60028190
2-s2.0-85053335454,60028190
2-s2.0-85053335454,112651290
2-s2.0-85053335454,60009358
2-s2.0-85059965712,60028190
2-s2.0-85030673725,60022498
2-s2.0-85030673725,60012718
2-s2.0-85030673725,60028190
2-s2.0-85030689461,60028190
2-s2.0-85030689461,60008435
2-s2.0-85028694310,60028190
2-s2.0-85028694310,60025272
2-s2.0-85028694310,60103680
2-s2.0-85028694310,60011944
2-s2.0-85028694310,60001580
2-s2.0-85045043144,60022183
2-s2.0-85045043144,117874061
2-s2.0-85045043144,60012718
2-s2.0-85057757276,60028190
2-s2.0-85057757276,60025038
2-s2.0-85058100356,60070862
2-s2.0-85058100356,60025205
2-s2.0-85050131468,60028190
2-s2.0-85045939365,60028190
2-s2.0-85045939365,60000264
2-s2.0-85045939365,112866858
2-s2.0-85020815543,60028190
2-s2.0-85020815543,60008435
2-s2.0-85052754077,60028190
2-s2.0-85049830878,106379398
2-s2.0-85049830878,60028190
2-s2.0-85040167175,60009226
2-s2.0-85040167175,60028190
2-s2.0-85047198537,60028190
2-s2.0-85047198537,60003500
2-s2.0-85129416364,60028190
2-s2.0-85047222753,60006314
2-s2.0-85047222753,60028190
2-s2.0-85041811056,60028190
2-s2.0-85041811056,60023998
2-s2.0-85055188449,60028190
2-s2.0-85055188449,60015265
2-s2.0-85047883101,60070862
2-s2.0-85047883101,60025205
2-s2.0-85050130167,60028190
2-s2.0-85008354493,60028190
2-s2.0-85008354493,60023366
2-s2.0-85049253738,60028190
2-s2.0-85049253738,60122663
2-s2.0-85044737812,60028190
2-s2.0-85056065681,60028190
2-s2.0-85053161886,60028190
2-s2.0-85053161886,60011189
2-s2.0-85053161886,60019939
2-s2.0-85053161886,60013983
2-s2.0-85042682561,60012521
2-s2.0-85042682561,60013939
2-s2.0-85042682561,60102128
2-s2.0-85042682561,60028190
2-s2.0-85050377983,60028190
2-s2.0-85058712631,60028190
2-s2.0-85039159576,60028190
2-s2.0-85039159576,60022183
2-s2.0-85048709924,60064058
2-s2.0-85048709924,60061893
2-s2.0-85048709924,60028190
2-s2.0-85021300848,60028190
2-s2.0-85021300848,60022183
2-s2.0-85062859793,60028190
2-s2.0-85056798729,60028190
2-s2.0-85049155044,60028190
2-s2.0-85035331598,60121202
2-s2.0-85035331598,60012311
2-s2.0-85035331598,60028190
2-s2.0-85035331598,60022286
2-s2.0-85035331598,60020486
2-s2.0-85035331598,60025063
2-s2.0-85045011508,60028190
2-s2.0-85045011508,60101968
2-s2.0-85045011508,60085177
2-s2.0-85045011508,60015235
2-s2.0-85045011508,60192973
2-s2.0-85047668404,60028190
2-s2.0-85047668404,112583039
2-s2.0-85031812835,60000881
2-s2.0-85031812835,60015046
2-s2.0-85031812835,60001884
2-s2.0-85031812835,60028190
2-s2.0-85054036077,60070862
2-s2.0-85054036077,60025205
2-s2.0-85068981951,60012455
2-s2.0-85068981951,60024353
2-s2.0-85068981951,60071929
2-s2.0-85068981951,60015043
2-s2.0-85068981951,60172562
2-s2.0-85068981951,60008088
2-s2.0-85068981951,60012306
2-s2.0-85068981951,60029622
2-s2.0-85049863844,60070862
2-s2.0-85049863844,60025205
2-s2.0-85044845660,60028190
2-s2.0-85044845660,60020486
2-s2.0-85040090503,60022464
2-s2.0-85040090503,60028190
2-s2.0-85101583101,60028190
2-s2.0-85053619106,60028190
2-s2.0-85053619106,60031069
2-s2.0-85053619106,60025063
2-s2.0-85058903604,60028897
2-s2.0-85058903604,60028190
2-s2.0-85058903604,60020650
2-s2.0-85049251897,60199583
2-s2.0-85052814087,60028190
2-s2.0-85052814087,60002620
2-s2.0-85052814087,60011525
2-s2.0-85034585467,60028190
2-s2.0-85034585467,60022457
2-s2.0-85052472790,60026857
2-s2.0-85052472790,60031955
2-s2.0-85052472790,60022313
2-s2.0-85052472790,60028190
2-s2.0-85052472790,60014256
2-s2.0-85052472790,60031720
2-s2.0-85052103724,60028190
2-s2.0-85045506137,60028190
2-s2.0-85051063546,60028190
2-s2.0-85051063546,60022183
2-s2.0-85045208701,60000881
2-s2.0-85045208701,60028190
2-s2.0-85045208701,60026046
2-s2.0-85045208701,60025527
2-s2.0-85045208701,60003241
2-s2.0-85045208701,112945723
2-s2.0-85047073581,60028190
2-s2.0-85047073581,60015084
2-s2.0-85047073581,60027762
2-s2.0-85057108057,60028190
2-s2.0-85040841375,60070862
2-s2.0-85040841375,60025205
2-s2.0-85044744207,60028190
2-s2.0-85052628288,60070862
2-s2.0-85052628288,60025205
2-s2.0-85051180271,60006314
2-s2.0-85051180271,60018805
2-s2.0-85051180271,60028190
2-s2.0-85054454626,60015023
2-s2.0-85054454626,60026695
2-s2.0-85054454626,60022183
2-s2.0-85048976221,60117963
2-s2.0-85048976221,60021944
2-s2.0-85048976221,60004391
2-s2.0-85048976221,60028190
2-s2.0-85059094534,60028190
2-s2.0-85089568477,60028190
2-s2.0-85052199402,60006314
2-s2.0-85052199402,60026607
2-s2.0-85052199402,60013120
2-s2.0-85052199402,60028190
2-s2.0-85052199402,60199578
2-s2.0-85052199402,60199571
2-s2.0-85052199402,60011546
2-s2.0-85052199402,112958814
2-s2.0-85052199402,114582977
2-s2.0-85076352482,60028190
2-s2.0-85047724403,60012585
2-s2.0-85047724403,60031780
2-s2.0-85047724403,60028190
2-s2.0-85047724403,100512832
2-s2.0-85047724403,60000881
2-s2.0-85047724403,60026046
2-s2.0-85047724403,102066915
2-s2.0-85047724403,107898082
2-s2.0-85047724403,60031637
2-s2.0-85147695124,60028190
2-s2.0-85019615771,60028190
2-s2.0-85019615771,60199571
2-s2.0-85048749584,60015023
2-s2.0-85048749584,60199578
2-s2.0-85048749584,60073540
2-s2.0-85048749584,60028190
2-s2.0-85108484985,60028190
2-s2.0-85047383489,60070862
2-s2.0-85047383489,60025205
2-s2.0-85053818719,60028190
2-s2.0-85053818719,60012521
2-s2.0-85023170224,60028190
2-s2.0-85055862909,60028190
2-s2.0-85031821306,108345704
2-s2.0-85031821306,60000139
2-s2.0-85031821306,60031325
2-s2.0-85031821306,60029395
2-s2.0-85031821306,60071489
2-s2.0-85031821306,60024787
2-s2.0-85031821306,60104613
2-s2.0-85031821306,118904897
2-s2.0-85031821306,60199578
2-s2.0-85031821306,60071495
2-s2.0-85052968790,60015150
2-s2.0-85052968790,60012070
2-s2.0-85052968790,60113676
2-s2.0-85052968790,60025225
2-s2.0-85052968790,60021859
2-s2.0-85052968790,60028190
2-s2.0-85052968790,121328595
2-s2.0-85042906672,60002401
2-s2.0-85042906672,60022183
2-s2.0-85042906672,60014468
2-s2.0-85042906672,60016849
2-s2.0-85042906672,60006377
2-s2.0-85040322317,60021944
2-s2.0-85040322317,60028190
2-s2.0-85040322317,60000264
2-s2.0-85040322317,60015682
2-s2.0-85054868885,60028190
2-s2.0-85056625659,60028190
2-s2.0-85045759869,60028190
2-s2.0-85045759869,60032499
2-s2.0-85045759869,60000745
2-s2.0-85045759869,60178602
2-s2.0-85039417015,60028190
2-s2.0-85051677305,121157453
2-s2.0-85051677305,60028190
2-s2.0-85051677305,60108355
2-s2.0-85048034863,60028190
2-s2.0-85048034863,60021543
2-s2.0-85052729319,60028190
2-s2.0-85042677604,60028190
2-s2.0-85042677604,60000137
2-s2.0-85054500037,60199583
2-s2.0-85050662074,60091507
2-s2.0-85050662074,60028190
2-s2.0-85044411323,60028190
2-s2.0-85044411323,60022183
2-s2.0-85044411323,60015887
2-s2.0-85028502506,60028190
2-s2.0-85028502506,60014256
2-s2.0-85028502506,60000717
2-s2.0-85028502506,60103897
2-s2.0-85063423845,60028190
2-s2.0-85037972365,60012718
2-s2.0-85037972365,60028190
2-s2.0-85057321973,106379398
2-s2.0-85057321973,60028190
2-s2.0-85010015810,60028190
2-s2.0-85010015810,60009116
2-s2.0-85046530585,60027866
2-s2.0-85046530585,60028190
2-s2.0-85046530585,60031890
2-s2.0-85046530585,60018805
2-s2.0-85046530585,60016849
2-s2.0-85046530585,60015765
2-s2.0-85047352543,60006314
2-s2.0-85047352543,60091516
2-s2.0-85047352543,60028190
2-s2.0-85067075989,116370343
2-s2.0-85067075989,60022457
2-s2.0-85067075989,60028190
2-s2.0-85067075989,116518217
2-s2.0-85067075989,60031216
2-s2.0-85067075989,124815918
2-s2.0-85056255685,60028190
2-s2.0-85037527871,60028190
2-s2.0-85053682004,60028190
2-s2.0-85053682004,60105690
2-s2.0-85054042373,60028190
2-s2.0-84976902133,60028190
2-s2.0-84976902133,60014471
2-s2.0-85033223295,60012521
2-s2.0-85033223295,60028190
2-s2.0-85033223295,60033085
2-s2.0-85033223295,101192223
2-s2.0-85033223295,112736858
2-s2.0-85045183447,60006314
2-s2.0-85045183447,60028190
2-s2.0-85045183447,60030931
2-s2.0-85047652244,60018809
2-s2.0-85047652244,60028190
2-s2.0-85041619225,60028190
2-s2.0-85041619225,60029329
2-s2.0-85058316853,60028190
2-s2.0-85020480998,60028190
2-s2.0-85020480998,60003303
2-s2.0-85041534447,60028190
2-s2.0-85041534447,60018013
2-s2.0-85054843179,60028190
2-s2.0-85042584759,60028190
2-s2.0-85042584759,60021944
2-s2.0-85042584759,60092133
2-s2.0-85046688382,60001422
2-s2.0-85046688382,60020486
2-s2.0-85046688382,60028190
2-s2.0-85055312528,60012521
2-s2.0-85055312528,60028190
2-s2.0-85049401287,60002746
2-s2.0-85049401287,60022183
2-s2.0-85049401287,60014992
2-s2.0-85049401287,60024885
2-s2.0-85049401287,60027561
2-s2.0-85055706392,60012718
2-s2.0-85055706392,60028190
2-s2.0-85092590734,60021923
2-s2.0-85092590734,60006866
2-s2.0-85092590734,60022183
2-s2.0-85045732767,60028190
2-s2.0-85045732767,60012718
2-s2.0-85051840032,60070862
2-s2.0-85051840032,60025205
2-s2.0-85045091334,60070862
2-s2.0-85045091334,60025205
2-s2.0-85045737563,60028190
2-s2.0-85045737563,60009780
2-s2.0-85052494724,60027762
2-s2.0-85052494724,60028190
2-s2.0-85053439955,60028190
2-s2.0-85029507390,60028190
2-s2.0-85029507390,60000316
2-s2.0-85064394619,60028190
2-s2.0-85064394619,60027762
2-s2.0-85050810403,60012521
2-s2.0-85050810403,60028190
2-s2.0-85042358246,60028190
2-s2.0-85042358246,60011546
2-s2.0-85042358246,60199578
2-s2.0-85042358246,60000881
2-s2.0-85042358246,60031637
2-s2.0-85042358246,60029610
2-s2.0-85042358246,102066915
2-s2.0-85049139765,60028190
2-s2.0-85049139765,60021944
2-s2.0-85049139765,60026326
2-s2.0-85041519189,60028190
2-s2.0-85048852055,60028190
2-s2.0-85040372659,60006314
2-s2.0-85040372659,60028190
2-s2.0-85056142332,60028190
2-s2.0-85053448876,60028190
2-s2.0-85053448876,60018861
2-s2.0-85055145038,60028190
2-s2.0-85037859579,60023691
2-s2.0-85037859579,60028190
2-s2.0-85037859579,60004321
2-s2.0-85037859579,60003915
2-s2.0-85037812126,60015481
2-s2.0-85037812126,60028190
2-s2.0-85037812126,60031859
2-s2.0-85037812126,60003625
2-s2.0-85050864383,60064058
2-s2.0-85050864383,60028190
2-s2.0-85050864383,60061893
2-s2.0-85055752021,60025577
2-s2.0-85055752021,60002512
2-s2.0-85055752021,60028190
2-s2.0-85055752021,118709805
2-s2.0-85051326383,60028190
2-s2.0-85042708303,60028190
2-s2.0-85050195928,60028190
2-s2.0-85062801280,60028190
2-s2.0-85045964602,60015986
2-s2.0-85045964602,60022183
2-s2.0-85045964602,60028190
2-s2.0-85040964325,60028190
2-s2.0-85051248599,60027795
2-s2.0-85051248599,60028190
2-s2.0-85046819493,60009119
2-s2.0-85046819493,60028190
2-s2.0-85059248986,60028190
2-s2.0-85147652564,60028190
2-s2.0-85147652564,60015728
2-s2.0-85048230209,60026827
2-s2.0-85048230209,60028190
2-s2.0-85053198491,60028190
2-s2.0-85035000126,60022414
2-s2.0-85035000126,60104429
2-s2.0-85035000126,60091507
2-s2.0-85047417336,60028190
